date,Load,Price,wind
2015-01-01T00:00:00Z,5946,35,69
2015-01-01T01:00:00Z,5726,45,64
2015-01-01T02:00:00Z,5347,41,65
2015-01-01T03:00:00Z,5249,38,64
2015-01-01T04:00:00Z,5309,35,64
2015-01-01T05:00:00Z,5574,35,84
2015-01-01T06:00:00Z,5925,36,131
2015-01-01T07:00:00Z,6343,36,109
2015-01-01T08:00:00Z,6882,41,146
2015-01-01T09:00:00Z,6963,45,146
2015-01-01T10:00:00Z,7110,50,158
2015-01-01T11:00:00Z,7136,51,187
2015-01-01T12:00:00Z,7013,48,244
2015-01-01T13:00:00Z,6735,47,299
2015-01-01T14:00:00Z,6543,46,327
2015-01-01T15:00:00Z,6603,51,346
2015-01-01T16:00:00Z,6735,61,310
2015-01-01T17:00:00Z,6626,58,205
2015-01-01T18:00:00Z,6738,54,222
2015-01-01T19:00:00Z,6654,44,251
2015-01-01T20:00:00Z,6255,35,138
2015-01-01T21:00:00Z,6221,33,92
2015-01-01T22:00:00Z,5864,21,103
2015-01-01T23:00:00Z,5533,15,106
2015-01-02T00:00:00Z,5205,9,79
2015-01-02T01:00:00Z,4971,5,126
2015-01-02T02:00:00Z,4669,-5,195
2015-01-02T03:00:00Z,4756,-4,225
2015-01-02T04:00:00Z,5080,-4,237
2015-01-02T05:00:00Z,5422,9,211
2015-01-02T06:00:00Z,5856,26,242
2015-01-02T07:00:00Z,6366,36,302
2015-01-02T08:00:00Z,6431,42,369
2015-01-02T09:00:00Z,6699,41,413
2015-01-02T10:00:00Z,6543,45,407
2015-01-02T11:00:00Z,6310,47,424
2015-01-02T12:00:00Z,6257,46,478
2015-01-02T13:00:00Z,6307,44,520
2015-01-02T14:00:00Z,6502,44,578
2015-01-02T15:00:00Z,6889,53,553
2015-01-02T16:00:00Z,5972,65,1048
2015-01-02T17:00:00Z,5892,62,1498
2015-01-02T18:00:00Z,5807,52,1615
2015-01-02T19:00:00Z,5313,41,1702
2015-01-02T20:00:00Z,5379,30,1637
2015-01-02T21:00:00Z,5325,28,1512
2015-01-02T22:00:00Z,5145,21,1407
2015-01-02T23:00:00Z,5827,6,1373
2015-01-03T00:00:00Z,5779,0,1350
2015-01-03T01:00:00Z,5467,-2,1304
2015-01-03T02:00:00Z,5201,-1,1241
2015-01-03T03:00:00Z,5244,2,1146
2015-01-03T04:00:00Z,5405,4,1423
2015-01-03T05:00:00Z,5402,8,1366
2015-01-03T06:00:00Z,5553,15,1323
2015-01-03T07:00:00Z,5476,16,1296
2015-01-03T08:00:00Z,5612,19,1059
2015-01-03T09:00:00Z,5660,22,903
2015-01-03T10:00:00Z,5663,24,718
2015-01-03T11:00:00Z,5305,24,503
2015-01-03T12:00:00Z,4932,24,293
2015-01-03T13:00:00Z,4706,27,279
2015-01-03T14:00:00Z,4833,29,356
2015-01-03T15:00:00Z,5124,32,346
2015-01-03T16:00:00Z,6064,40,301
2015-01-03T17:00:00Z,5937,41,114
2015-01-03T18:00:00Z,5767,37,83
2015-01-03T19:00:00Z,5697,31,69
2015-01-03T20:00:00Z,5329,27,67
2015-01-03T21:00:00Z,5570,21,54
2015-01-03T22:00:00Z,5452,14,61
2015-01-03T23:00:00Z,5513,14,57
2015-01-04T00:00:00Z,5234,11,143
2015-01-04T01:00:00Z,5106,9,569
2015-01-04T02:00:00Z,4804,5,1081
