date,Load,Price,Wind
2015-01-01T00:00:00Z,26758,,
2015-01-01T01:00:00Z,27166,,782
2015-01-01T02:00:00Z,24472,,785
2015-01-01T03:00:00Z,23003,,776
2015-01-01T04:00:00Z,21832,,773
2015-01-01T05:00:00Z,21184,,766
2015-01-01T06:00:00Z,20834,,763
2015-01-01T07:00:00Z,21890,,778
2015-01-01T08:00:00Z,23137,,820
2015-01-01T09:00:00Z,25206,,836
2015-01-01T10:00:00Z,27222,,879
2015-01-01T11:00:00Z,29048,,899
2015-01-01T12:00:00Z,31222,,958
2015-01-01T13:00:00Z,32189,,989
2015-01-01T14:00:00Z,32154,,1004
2015-01-01T15:00:00Z,32472,,1012
2015-01-01T16:00:00Z,34101,,1021
2015-01-01T17:00:00Z,36046,,1026
2015-01-01T18:00:00Z,35515,,1032
2015-01-01T19:00:00Z,34440,,1053
2015-01-01T20:00:00Z,32578,,1066
2015-01-01T21:00:00Z,30286,,1060
2015-01-01T22:00:00Z,28960,,1079
2015-01-01T23:00:00Z,27592,,539
2015-01-02T00:00:00Z,25117,27.94,0
2015-01-02T01:00:00Z,24390,25.5,1100
2015-01-02T02:00:00Z,22744,20.92,1092
2015-01-02T03:00:00Z,22411,17.38,1056
2015-01-02T04:00:00Z,21485,19.85,1047
2015-01-02T05:00:00Z,21842,20.67,1033
2015-01-02T06:00:00Z,23926,25.36,1015
2015-01-02T07:00:00Z,26232,32,1002
2015-01-02T08:00:00Z,28312,35.09,954
2015-01-02T09:00:00Z,30917,39.34,939
2015-01-02T10:00:00Z,32790,37.45,925
2015-01-02T11:00:00Z,33886,39.73,937
2015-01-02T12:00:00Z,34286,44.07,962
2015-01-02T13:00:00Z,33966,39.82,950
2015-01-02T14:00:00Z,33712,36.54,926
2015-01-02T15:00:00Z,34212,36.52,868
2015-01-02T16:00:00Z,36477,47.97,734
2015-01-02T17:00:00Z,40398,80,704
2015-01-02T18:00:00Z,40672,56.72,659
2015-01-02T19:00:00Z,39704,37.13,660
2015-01-02T20:00:00Z,37402,44.52,698
2015-01-02T21:00:00Z,34460,37.09,691
2015-01-02T22:00:00Z,31921,36.86,696
2015-01-02T23:00:00Z,29282,35.77,350
2015-01-03T00:00:00Z,26307,35.94,0
2015-01-03T01:00:00Z,25090,35.65,687
2015-01-03T02:00:00Z,22624,33.02,673
2015-01-03T03:00:00Z,21502,32,621
2015-01-03T04:00:00Z,20406,31.72,587
2015-01-03T05:00:00Z,20261,35.93,481
