date,Load,Price,Wind
2015-01-01T00:00:00Z,,,
2015-01-01T01:00:00Z,2231,,
2015-01-01T02:00:00Z,2089,,
2015-01-01T03:00:00Z,2032,,
2015-01-01T04:00:00Z,2014,,
2015-01-01T05:00:00Z,2063,,
2015-01-01T06:00:00Z,2086,,
2015-01-01T07:00:00Z,2127,,
2015-01-01T08:00:00Z,2258,,
2015-01-01T09:00:00Z,2424,,
2015-01-01T10:00:00Z,2459,,
2015-01-01T11:00:00Z,2476,,
2015-01-01T12:00:00Z,2290,,
2015-01-01T13:00:00Z,2303,,
2015-01-01T14:00:00Z,2445,,
2015-01-01T15:00:00Z,2719,,
2015-01-01T16:00:00Z,3105,,
2015-01-01T17:00:00Z,3265,,
2015-01-01T18:00:00Z,3360,,
2015-01-01T19:00:00Z,3256,,
2015-01-01T20:00:00Z,3073,,
2015-01-01T21:00:00Z,2827,,
2015-01-01T22:00:00Z,2499,,
2015-01-01T23:00:00Z,2226,,
2015-01-02T00:00:00Z,2044,,44
2015-01-02T01:00:00Z,1931,,48
2015-01-02T02:00:00Z,1905,,49
2015-01-02T03:00:00Z,1931,,49
2015-01-02T04:00:00Z,2033,,35
2015-01-02T05:00:00Z,2322,,24
2015-01-02T06:00:00Z,2666,,16
2015-01-02T07:00:00Z,2939,,15
2015-01-02T08:00:00Z,3146,,14
2015-01-02T09:00:00Z,3204,,14
2015-01-02T10:00:00Z,3166,,14
2015-01-02T11:00:00Z,3039,,19
2015-01-02T12:00:00Z,2860,,19
2015-01-02T13:00:00Z,2961,,17
2015-01-02T14:00:00Z,3216,,17
2015-01-02T15:00:00Z,3470,,17
2015-01-02T16:00:00Z,3952,,22
2015-01-02T17:00:00Z,3999,,25
2015-01-02T18:00:00Z,3959,,22
2015-01-02T19:00:00Z,3582,,24
2015-01-02T20:00:00Z,3280,,24
2015-01-02T21:00:00Z,2923,,24
2015-01-02T22:00:00Z,2667,,23
2015-01-02T23:00:00Z,2362,,21
2015-01-03T00:00:00Z,2171,,23
2015-01-03T01:00:00Z,2081,,13
2015-01-03T02:00:00Z,2052,,13
2015-01-03T03:00:00Z,2033,,11
2015-01-03T04:00:00Z,2103,,14
2015-01-03T05:00:00Z,2323,,14
2015-01-03T06:00:00Z,2610,,15
2015-01-03T07:00:00Z,2835,,14
2015-01-03T08:00:00Z,3070,,12
2015-01-03T09:00:00Z,3124,,14
2015-01-03T10:00:00Z,3119,,16
2015-01-03T11:00:00Z,3033,,16
2015-01-03T12:00:00Z,2836,,19
2015-01-03T13:00:00Z,2797,,21
2015-01-03T14:00:00Z,2932,,27
2015-01-03T15:00:00Z,3214,,30
2015-01-03T16:00:00Z,3590,,33
2015-01-03T17:00:00Z,3718,,31
2015-01-03T18:00:00Z,3764,,39
2015-01-03T19:00:00Z,3495,,38
2015-01-03T20:00:00Z,3260,,43
2015-01-03T21:00:00Z,2952,,39
2015-01-03T22:00:00Z,2596,,42
2015-01-03T23:00:00Z,2328,,47
2015-01-04T00:00:00Z,2119,,49
2015-01-04T01:00:00Z,2010,,50
2015-01-04T02:00:00Z,1946,,55
2015-01-04T03:00:00Z,1919,,60
2015-01-04T04:00:00Z,1952,,53
2015-01-04T05:00:00Z,2049,,53
2015-01-04T06:00:00Z,2223,,56
2015-01-04T07:00:00Z,2382,,52
2015-01-04T08:00:00Z,2573,,41
2015-01-04T09:00:00Z,2658,,34
2015-01-04T10:00:00Z,2773,,26
2015-01-04T11:00:00Z,2717,,23
2015-01-04T12:00:00Z,2475,,24
2015-01-04T13:00:00Z,2384,,23
2015-01-04T14:00:00Z,2564,,20
2015-01-04T15:00:00Z,2740,,20
2015-01-04T16:00:00Z,3216,,31
2015-01-04T17:00:00Z,3387,,40
2015-01-04T18:00:00Z,3494,,59
2015-01-04T19:00:00Z,3328,,63
2015-01-04T20:00:00Z,3122,,47
2015-01-04T21:00:00Z,2873,,44
2015-01-04T22:00:00Z,2535,,41
2015-01-04T23:00:00Z,2320,,67
2015-01-05T00:00:00Z,2158,39.1,59
2015-01-05T01:00:00Z,2038,35.21,46
2015-01-05T02:00:00Z,2023,32.43,39
2015-01-05T03:00:00Z,2009,33.15,43
2015-01-05T04:00:00Z,2126,38.85,41
2015-01-05T05:00:00Z,2463,48.89,38
2015-01-05T06:00:00Z,2821,60.03,32
2015-01-05T07:00:00Z,3157,63.98,28
2015-01-05T08:00:00Z,3431,64.5,25
2015-01-05T09:00:00Z,3495,55.49,25
2015-01-05T10:00:00Z,3492,53.5,27
2015-01-05T11:00:00Z,3365,51,28
2015-01-05T12:00:00Z,3190,50.39,28
2015-01-05T13:00:00Z,3024,54.45,33
2015-01-05T14:00:00Z,3246,64,36
2015-01-05T15:00:00Z,3472,64.25,43
2015-01-05T16:00:00Z,3994,68.64,41
2015-01-05T17:00:00Z,4104,67,42
2015-01-05T18:00:00Z,4027,65.26,38
2015-01-05T19:00:00Z,3655,64,41
2015-01-05T20:00:00Z,3408,58,43
2015-01-05T21:00:00Z,3041,52.1,53
2015-01-05T22:00:00Z,2698,51,57
2015-01-05T23:00:00Z,2542,49.78,54
2015-01-06T00:00:00Z,2359,45.21,54
2015-01-06T01:00:00Z,2239,38.8,46
2015-01-06T02:00:00Z,2228,35,46
2015-01-06T03:00:00Z,2229,33.43,37
2015-01-06T04:00:00Z,2273,37.58,45
2015-01-06T05:00:00Z,2340,43.5,46
2015-01-06T06:00:00Z,2557,52,45
2015-01-06T07:00:00Z,2637,52,35
2015-01-06T08:00:00Z,2912,51.04,29
2015-01-06T09:00:00Z,2994,50.28,21
2015-01-06T10:00:00Z,3108,49.1,20
2015-01-06T11:00:00Z,3025,47.97,22
2015-01-06T12:00:00Z,2787,45.11,20
2015-01-06T13:00:00Z,2565,45.44,20
2015-01-06T14:00:00Z,2760,52.49,19
2015-01-06T15:00:00Z,2935,57.89,16
2015-01-06T16:00:00Z,3374,64,16
2015-01-06T17:00:00Z,3604,65.85,11
2015-01-06T18:00:00Z,3717,67.1,11
2015-01-06T19:00:00Z,3552,67,12
2015-01-06T20:00:00Z,3319,65,11
2015-01-06T21:00:00Z,3058,60.68,9
2015-01-06T22:00:00Z,2744,51.07,8
2015-01-06T23:00:00Z,2508,49.92,6
2015-01-07T00:00:00Z,2311,45.5,5
2015-01-07T01:00:00Z,2204,45,3
2015-01-07T02:00:00Z,2213,41.85,4
2015-01-07T03:00:00Z,2251,41.85,4
2015-01-07T04:00:00Z,2393,44.32,4
2015-01-07T05:00:00Z,3026,51.96,4
2015-01-07T06:00:00Z,3685,70,3
2015-01-07T07:00:00Z,4243,74,5
2015-01-07T08:00:00Z,4468,70.95,5
2015-01-07T09:00:00Z,4342,66.4,6
2015-01-07T10:00:00Z,4307,63.98,8
2015-01-07T11:00:00Z,4181,54.99,5
2015-01-07T12:00:00Z,4069,52.62,4
2015-01-07T13:00:00Z,4267,64.34,4
2015-01-07T14:00:00Z,4462,65,3
2015-01-07T15:00:00Z,4646,71.1,3
2015-01-07T16:00:00Z,4897,95,5
2015-01-07T17:00:00Z,4730,99,4
2015-01-07T18:00:00Z,4542,95.66,3
2015-01-07T19:00:00Z,4157,80,3
2015-01-07T20:00:00Z,3833,75.64,3
2015-01-07T21:00:00Z,3389,67.36,7
2015-01-07T22:00:00Z,3032,60.51,6
2015-01-07T23:00:00Z,2746,46.48,8
