date,Load,Price,Wind
2015-01-01T00:00:00Z,,,
2015-01-01T01:00:00Z,1835,19.33,
2015-01-01T02:00:00Z,1794,17.66,
2015-01-01T03:00:00Z,1775,17.53,
2015-01-01T04:00:00Z,1752,18.07,
2015-01-01T05:00:00Z,1862,25.23,
2015-01-01T06:00:00Z,1872,26.8,
2015-01-01T07:00:00Z,1908,26.97,
2015-01-01T08:00:00Z,1883,26.29,
2015-01-01T09:00:00Z,1893,26.06,
2015-01-01T10:00:00Z,2002,25.56,
2015-01-01T11:00:00Z,1938,25.91,
2015-01-01T12:00:00Z,1941,25.42,
2015-01-01T13:00:00Z,1917,26.78,
2015-01-01T14:00:00Z,2125,27.51,
2015-01-01T15:00:00Z,2074,28.32,
2015-01-01T16:00:00Z,2067,28.36,
2015-01-01T17:00:00Z,2145,28.18,
2015-01-01T18:00:00Z,2012,27.81,
2015-01-01T19:00:00Z,2005,27.46,
2015-01-01T20:00:00Z,1871,27.06,
2015-01-01T21:00:00Z,1875,26.4,
2015-01-01T22:00:00Z,1825,18.36,
2015-01-01T23:00:00Z,1756,17.78,
2015-01-02T00:00:00Z,1731,9.62,
2015-01-02T01:00:00Z,1594,7.67,
2015-01-02T02:00:00Z,1621,10.83,
2015-01-02T03:00:00Z,1699,23.14,
2015-01-02T04:00:00Z,1916,26.1,
2015-01-02T05:00:00Z,1983,27.25,
2015-01-02T06:00:00Z,2104,28.37,
2015-01-02T07:00:00Z,2104,28.37,
2015-01-02T08:00:00Z,1944,28.32,
2015-01-02T09:00:00Z,1827,28.3,
2015-01-02T10:00:00Z,1878,28.39,
2015-01-02T11:00:00Z,1863,28.3,
2015-01-02T12:00:00Z,1898,28.24,
2015-01-02T13:00:00Z,2009,28.12,
2015-01-02T14:00:00Z,2147,28.23,
2015-01-02T15:00:00Z,2050,28.59,
2015-01-02T16:00:00Z,1974,28.73,
2015-01-02T17:00:00Z,2020,28.48,
2015-01-02T18:00:00Z,1987,28.38,
2015-01-02T19:00:00Z,1915,27.85,
2015-01-02T20:00:00Z,1784,27.45,
2015-01-02T21:00:00Z,1843,27.2,
2015-01-02T22:00:00Z,1791,25.94,
2015-01-02T23:00:00Z,1905,17.57,
2015-01-03T00:00:00Z,1847,16.87,
2015-01-03T01:00:00Z,1801,5.75,
2015-01-03T02:00:00Z,1779,5.09,
2015-01-03T03:00:00Z,1756,7.64,
2015-01-03T04:00:00Z,1816,23.85,
2015-01-03T05:00:00Z,1880,22.92,
2015-01-03T06:00:00Z,1929,26.75,
2015-01-03T07:00:00Z,1996,26.98,
2015-01-03T08:00:00Z,1994,27.52,
2015-01-03T09:00:00Z,2033,27.72,
2015-01-03T10:00:00Z,2068,27.73,
2015-01-03T11:00:00Z,2009,27.66,
2015-01-03T12:00:00Z,2057,27.65,
2015-01-03T13:00:00Z,2109,27.81,
2015-01-03T14:00:00Z,2143,28.37,
2015-01-03T15:00:00Z,2191,29.23,
2015-01-03T16:00:00Z,2208,29.53,
2015-01-03T17:00:00Z,2124,29.75,
